restaurant_id,name,type,category,min_order,delivery_time,address,phone,business_hours,closed_days,rating,image_url
store-22,청년피자 배곧신도시점,restaurant,피자,18900,29~44,경기도 시흥시 서울대학로278번길 19-14 1층(배곧동),050-4932-3610,"12:00~23:00 (월 16:30~, 화 15:00~, 토 11:30~)",연중무휴,5,
store-23,큭큭피자 시흥정왕점,restaurant,피자,15000,31~46,"경기도 시흥시 정왕대로 178 1층 102호(정왕동, 광개토빌딩2)",050-4932-4404,"16:00~익일 03:00 (월·목 15:30~, 화 16:30~, 토 10:30~, 일 13:30~)",연중무휴,5,
store-24,번쩍피자 시흥점,restaurant,피자,14900,39~54,경기도 시흥시 봉우재로7번길 24-1 1층 일부호(정왕동),050-8820-94327,매일 10:00~익일 02:00,연중무휴,5,
store-25,족발상식 정왕점,restaurant,족발·보쌈,19000,19~34,"경기도 시흥시 옥구상가1길 15-1 1층(정왕동, 청한빌딩)",050-6448-7281,"12:00~익일 02:00 (일·월 11:00~, 화 17:00~23:00)",매월 첫째·둘째 화요일,5,
store-26,호랑이족발,restaurant,족발·보쌈,6000,20~30,"경기도 시흥시 함송로 15 1층 106호(정왕동, 화신프라자)",050-8820-41676,매일 09:00~익일 06:00,연중무휴,4.9,
store-27,원할머니보쌈족발 시흥배곧점,restaurant,족발·보쌈,20000,16~31,경기도 시흥시 배곧4로 32-28 1층 108호(정왕동),050-4975-4152,매일 11:00~23:00,연중무휴,4.9,
store-28,돈통마늘보쌈 배곧신도시점,restaurant,족발·보쌈,20000,20~35,"경기도 시흥시 배곧1로 27-16 402동 102B호(정왕동, 한라비발디캠퍼스2차)",050-4920-3551,매일 11:00~익일 01:00,연중무휴,5,
store-29,오봉집 배곧점,restaurant,족발·보쌈,20000,28~43,"경기도 시흥시 서울대학로278번길 25-24 103-104호(배곧동, 다인로얄리스 배곧 1차)",050-4931-4943,매일 11:00~23:00,연중무휴,4.8,
store-30,상상오리&삼겹 시흥정왕점,restaurant,고기,19000,30~45,경기도 시흥시 역전로290번길 13 102호(정왕동),050-8820-61051,11:00~익일 03:00 (주말 10:00~),연중무휴,5,
store-31,더벤티 시흥배곧한라점,cafe,카페·디저트,15000,17~32,"경기 시흥시 서울대학로 172-20 상가4동 1층 113A호(배곧동, 한라비발디캠퍼스3차)",050-6381-5457,주말 08:30~21:00 / 월~화 07:30~21:00 / 수~목 07:30~22:00 / 금 07:00~21:50,연중무휴,5,
store-32,빽다방 시흥배곧한라점,cafe,카페·디저트,18000,20~35,경기 시흥시 서울대학로 172-20 상가4동 1층 102호,050-8821-10308,매일 08:00~21:40,연중무휴,4.9,
store-33,배스킨라빈스 시흥배곧한라점,cafe,카페·디저트,17000,12~27,"경기 시흥시 서울대학로 172-20 105,106호(배곧동, 한라비발디캠퍼스3차)",050-8820-41839,주말 10:30~22:30 / 평일 11:30~22:30,연중무휴,4.8,
store-34,뚜레쥬르 배곧한라비발디점,cafe,카페·디저트,16000,12~27,"경기 시흥시 배곧1로 27-16 상가2동 101,102호(배곧동, 한라비발디캠퍼스2차)",050-3622-84386,수~금 09:00~22:00 / 주말·월·화 10:00~22:00,연중무휴,4.9,
store-35,파리바게뜨 배곧한라1호점,cafe,카페·디저트,15000,12~27,"경기 시흥시 배곧1로 27-15 상가2동 1층 116호(정왕동, 한라비발디캠퍼스)",050-7779-7939,매일 08:00~22:30,연중무휴,4.9,
store-36,컴포즈커피 한라비발디점,cafe,카페·디저트,12000,19~34,"경기 시흥시 배곧1로 27-15 상가3동 1층 106호(배곧동, 한라비발디캠퍼스)",070-7537-2391,매일 08:00~22:30,연중무휴,4.8,
store-37,동동꽈배기 한라비발디점,cafe,카페·디저트,15000,21~36,"경기 시흥시 배곧1로 27-15 상가2동 1층 104호(배곧동, 한라비발디캠퍼스)",050-8819-89597,주말 11:00~21:00 / 화·수·금 11:20~21:00 / 목 10:20~21:00 / 월 정기휴무,매주 월요일,4.9,
store-38,이디야커피 시흥한라비발디점,cafe,카페·디저트,12000,15~30,경기 시흥시 배곧1로 27-15 상가1동 1층 113호,050-6448-3625,매일 09:00~22:00,연중무휴,4.8,
store-39,오늘도빙수 배곧신도시점,cafe,카페·디저트,13900,15~30,"경기 시흥시 서울대학로264번길 12 207동 A-102호(배곧동, 시흥배곧 C2 호반써밋플레이스 아파트)",050-3621-57084,일 12:30~익일1:00 / 월 14:00~익일1:00 / 화 12:30~23:00 / 수 12:30~24:00 / 목 12:30~익일1:00 / 금·토 12:30~익일2:00,연중무휴,4.9,
store-40,미스터카스테라 시흥점,cafe,카페·디저트,10900,18~28,경기 시흥시 서울대학로264번길 12 208동 1층 B-109호,050-8819-14138,평일 12:25~익일3:00 / 토 13:00~익일3:00 / 일 14:00~익일3:00,연중무휴,4.9,
store-41,카페인중독 배곧점,cafe,카페·디저트,12900,27~42,"경기 시흥시 서울대학로264번길 50 A동 1층 112호(배곧동, 배곧헤리움 어반크로스2차)",050-8819-79787,매일 24시간,연중무휴,4.8,
store-42,요아정 정왕점,cafe,카페·디저트,13000,34~49,경기 시흥시 봉우재로69번길 29-1 1층 일부호(정왕동),050-8820-82868,매일 11:00~24:00,연중무휴,5,
store-43,요거트 아이스크림의정석 배곧점,cafe,카페·디저트,14500,19~34,경기 시흥시 서울대학로278번길 19-13 써밋플레이스 상가 2층 261호,050-3621-35053,일~목 12:00~00:30 / 금 12:00~익일1:00 / 토 12:00~익일1:30,연중무휴,5,
store-44,플러스82 시흥정왕점,cafe,카페·디저트,11900,27~42,"경기 시흥시 마유로 416 109호(정왕동, 월드프라자)",050-6019-1108,일~목 06:00~익일2:00 / 금·토 06:00~익일2:50,연중무휴,5,
store-45,공차 시흥배곧점,cafe,카페·디저트,12000,16~31,"경기 시흥시 서울대학로278번길 34 108,109호(배곧동, 시흥배곧 아브뉴프랑 센트럴 옐로우)",050-7780-6894,일 09:30~21:40 / 평일·토 09:30~22:10,연중무휴,4.6,
store-46,우지커피 배곧신도시점,cafe,카페·디저트,11900,15~25,"경기 시흥시 서울대학로278번길 25-24 111호(배곧동, 다인로얄팰리스배곧1차)",050-3622-56430,매일 08:30~22:00,연중무휴,4.7,
store-47,Poke all day 포케&샐러드 배곧신도시점,restaurant,양식,12900,21~36,경기도 시흥시 배곧전원로 18-20 1층 일부호(배곧동),031-8042-7211,평일 - 오전 10:00 ~오후 7:40 토요일 - 오전 10:00 ~ 오후 2:40 일요일 - 정기휴무,매주 일요일,4.9,
store-48,이삭토스트 시흥배곧점,restaurant,패스트푸드,13000,18~33,"경기도 시흥시 배곧3로 86 114호(배곧동, 센터프라자2)",050-3621-23011,수요일 - 오전 9:00 ~ 오후 7:20 목요일 - 오전 9:00 ~ 오후 7:20 금요일 - 오전 9:00 ~ 오후 7:20 주말 - 오전 8:00 ~ 오후 6:20 월요일 - 오전 8:00 ~ 오후 6:20 화요일 - 오전 9:00 ~ 오후 7:20,연중무휴,4.8,
store-49,맘스터치 정왕점,restaurant,패스트푸드,12000,12~27,경기도 시흥시 함송로14번길 5-16 (정 왕동),050-3621-73001,매일 - 오전 10:20 ~ 오후 9:50,연중무휴,4.8,
store-50,버거킹 배곧아브뉴프랑점,restaurant,패스트푸드,14000,13~28,"경기도 시흥시 서울대학로264번길 35 시흥배곧 아브뉴프랑 센트럴 그린 1층 113,114,115,116호(정왕동)",1599-8205,매일 -오전 9:00 ~ 밤 12:50,연중무휴,4.4,
store-51,육회바른연어 정왕점,restaurant,돈까스·회,14900,29~44,경기도 시흥시 중심상가2길 20-13 1층 105. 106호(정왕동),050-8819-44550,매일 - 오전 11:00 ~ 오후 11:40,연중무휴,5,
store-52,경양카츠,restaurant,돈까스·회,12900,19~34,"경기도 시흥시 서울대학로278번길 61 A-13호(배곧동,서영베니스스퀘어)",050-7780-8865,매일 - 오전 11:00 ~ 오후 8:30,연중무휴,5,
store-53,스시토우토이,restaurant,돈까스·회,14000,22~37,"경기도 시흥시 서울대학로278번길 34 2층 203,204호(배곧동, 시흥배곧 아브 뉴프랑 센트럴 옐로우)",050-8819-76585,수요일 - 오전 11:00 ~ 오후 8:20 목요일 - 오전 11:00 ~ 오후 8:20 금요일 - 오전 11:00 ~ 오후 8:20 주말 - 오전 11:00 ~ 오후 8:20 월요일 - 정기휴무 화요일 - 오전 11:00 ~ 오후 8:20 (준비시간 오후 15:00 ~오후 17:00),매주 월요일,5,
store-54,고기명가 시흥본점,restaurant,고기,11900,49~64,"경기도 시흥시 정왕천로355번길 46 1층 일부호(정왕동, 대양닥트)",050-3621-79566,수요일 - 오전 11:00 ~ 익일 새벽 2:00 목요일 - 오전 8:00 ~ 익일 새벽 2:00 금요일 - 오전 8:00 ~ 익일 새벽 2:00 주말 - 오전 8:00 ~ 익일 새벽 2:00 월요일 - 오전 8:00 ~ 익일 새벽 2:00 화요일 - 오전 8:00 ~ 익일 새벽 2:00,연중무휴,5,
store-55,육식사관학교 시흥정왕점,restaurant,고기,9900,13~28,"경기도 시흥시 서울대학로264번길 12 208동 B-246호(배곧동,시흥배곧 C2 블럭 호반 써밋플레이스 아파트)",050-4829-4766,수요일 - 오전 10:20 ~ 오후 11:55 목요일 - 오전 10:20 ~ 오후 11:55 금요일 - 오전 10:20 ~ 오후 11:55 토요일 - 오전 11:00 ~ 오후 11:50 일요일 - 오전 11:00 ~ 오후 9:55 월요일 - 오전 10:20 ~ 오후 11:55 화요일 - 오전 10:20 ~ 오후 9:55,연중무휴,4.9,
store-56,유가네 닭갈비 정왕점,restaurant,고기,15000,29~44,"경기도 시흥시 중심상가로 193 201호 (정왕동, 센타프라자)",050-8820-62581,매일 - 오전 11:00 ~ 오후 9:10 (준비시간 오후 14:50 ~ 오후 16:00),연중무휴,4.8,
store-57,진심제육 시흥점,restaurant,한식,9000,18~33,"경기도 시흥시 함송로14번길 5-4 1층 105호(정왕동,쌍용프라자)",050-6518-7510,매일 - 24시간 운영,연중무휴,4.9,
store-58,연제네쌀국수 배곧점,restaurant,아시안,15000,13~28,"경기도 시흥시 서울대학로278번길 26 107-108호(배곧동,시흥배곧아브뉴프랑 센트럴오렌지)",050-8820-88987,매일 - 오전 9:50 ~ 오후 8:30,연중무휴,5,
store-59,미분당 배곧신도시점,restaurant,아시안,13000,10~20,"경기도 시흥시 서울대학로278번길 21 104호(배곧동, 새롬프라자2)",050-8820-83643,매일 - 오전 11:00 ~ 오후 8:30,연중무휴,5,
store-60,麻辣 东北菜馆 마라동북식당,restaurant,중식,20000,39~54,경기도 시흥시 군서마을로 62 1층일부 호(정왕동),050-8819-36316,평일 - 오전 11:00 ~ 오후 11:00 주말 - 오전 10:30 ~ 오후 11:00,연중무휴,4.8,
store-61,천향오 마라탕 배곧점,restaurant,중식,12000,30~45,"경기도 시흥시 정왕동 2527 시흥배곧 아브뉴프랑 센트럴 그린 1층 117,118호 (정왕동)",050-7780-8518,수요일 - 오전 10:00 ~밤 12:00 목요일 - 24시간 운영 금요일 - 24시간 운영 주말 - 24시간 운영 월요일 - 24시간 운영 화요일 - 밤 12:00 ~ 오후 11:30,연중무휴,5,
store-62,메가혼밥 정왕점,restaurant,한식,8500,37~52,경기도 시흥시 봉우재로 23-22 1층 1호 (정왕동),050-8819-61762,수요일 - 오전 10:00 ~ 오후 10:00 목요일 - 오전 10:00 ~ 익일 새벽 5:00 금요일 - 오전 10:00 ~ 익일 새벽 5:00 주말 - 오전 10:00 ~ 익일 새벽 5:00 월요일 - 오전 10:00 ~ 익일 새벽 5:00 화요일 - 정기휴무,매주 화요일,4.9,
store-63,본도시락 시흥정왕점,restaurant,한식,20000,27~42,경기도 시흥시 정왕동 1728-20 104호 (정왕동),050-6210-6893,평일 - 오전 9:50 ~ 오후 7:25 토요일 - 오전 10:00 ~ 오후 2:00 일요일 - 정기휴무,매주 일요일,4.8,
store-64,밥풀릭스 시흥정왕점,restaurant,한식,9900,27~42,"경기도 시흥시 서촌상가4길 10 1층 106 호(정왕동,한솔빌딩)",050-3750-07323,평일 - 오전 10:00 ~ 오후 9:00 주말 - 오전 10:00 ~ 오후 3:00,연중무휴,4.9,
store-65,담솥,restaurant,한식,18000,24~39,"경기도 시흥시 서울대학로278번길 25-32 1층 102호(배곧동, 다인로얄 팰리스 배곧2차)",050-8821-08103,매일 - 오전 11:00 ~ 오후 8:30,연중무휴,4.9,
store-66,더드림한식,restaurant,한식,17000,29~44,경기도 시흥시 마유로418번길 24 1층 103호 (정왕동),050-8818-66236,평일 - 오전 8:30 ~ 오후 7:00 토요일 - 오전 8:30 ~ 오후 7:00 일요일 - 정기휴무,매주 일요일,5,
store-67,제육의민족 본점,restaurant,한식,11000,16~31,경기도 시흥시 마유로418번길 18 1층 103호(정왕동),050-8820-47061,화요일 - 오전 8:00 ~ 오후 11:55 수요일 - 오전 8:00 ~ 오후 8:55 목요일 - 오전 8:00 ~ 오후 11:55 금요일 - 오전 8:00 ~ 오후 11:55 토요일 - 오전 8:00 ~ 오후 8:55 일요일 - 오전 7:50 ~ 오후 8:55 월요일 - 오전 8:00 ~ 오후 11:55 (준비시간 오후 15:00 ~ 오후 16:00),연중무휴,5,
store-68,다판다 덮밥,restaurant,한식,10000,28~43,경기도 시흥시 오동마을로 9 1층 일부 호(정왕동),050-6941-5034,매일 -오전 9:00 ~ 밤 12:00,연중무휴,4.8,
store-69,오므라이스 팝니다 정왕점,restaurant,한식,9000,19~34,경기도 시흥시 다솜마을2길 23 103 호(정왕동),050-7779-2849,매일 - 오전 10:00 ~ 오후 10:50,연중무휴,5,
store-70,쉐프비빔밥&덮밥,restaurant,한식,11000,23~38,경기도 시흥시 정왕동 2311-5 1층 일 부(101)호(정왕동),050-6381-8954,화요일 - 오전 8:30 ~ 오후 8:00 수요일 - 오전 8:30 ~ 오후 8:00 목요일 - 정기휴무 금요일 - 오전 8:30 ~ 오후 8:00 주말 - 오전 8:30 ~ 오후 8:00 월요일 - 오전 8:30 ~ 오후 8:00,매주 목요일,5,
store-71,유명한덮밥집 시흥정왕점,restaurant,한식,5000,35~50,경기도 시흥시 서촌상가3길 17 1층 105호 (정왕동),050-7538-9139,평일 - 오전 10:00 ~ 오후 9:00 토요일 - 오전 10:00 ~ 오후 9:00 일요일 - 오전 10:00 ~ 오후 9:15 (준비시간 오후 14:30 ~ 오후 15:30),연중무휴,4.9,
store-72,정정아식당 시흥정왕점,restaurant,한식,24000,42~57,"경기 시흥시 정왕동 1730-4 1층 106,107,108호",050-7538-2800,평일 - 오전 10:30 ~ 오후 10:10 토요일 - 오전 10:30 ~ 오후 10:10 일요일 - 정기휴무,매주 일요일,4.9,
store-73,짬뽕관 시흥정왕점,restaurant,중식,11000,21~36,"경기도 시흥시 중심상가2길 4-3, 1층 104,105호, 106호(정왕동, 완도프라 자)",010-9282-1633,매일 - 오전 10:30 ~ 오후 9:40,연중무휴,5,
store-74,찐하오마라탕&마라샹궈 정왕점,restaurant,중식,16000,9~24,경기도 시흥시 함송로14번길 13-17 홍익프라자 1층 101호(정왕동),050-3621-31855,매일 - 24시간 운영,연중무휴,5,
store-75,마라탕전문점 샹츠마라 배곧점,restaurant,중식,13900,16~26,"경기도 시흥시 배곧3로 96 208-1호 (배곧동, M-플러스)",050-8820-29812,매일 - 오전 11:00 ~ 오후 9:30,연중무휴,5,
store-76,춘리마라탕 배곧점,restaurant,중식,15000,14~29,,,,,5,
store-77,행복가성비 컵밥&우동 시흥정왕점,restaurant,분식,13900,25~40,경기도 시흥시 정왕천로355번길 46 1층 일부호(정왕동),050-6469-1190,화요일 - 오전 8:00 ~ 익일 새벽 1:00 수요일 - 오전 11:00 ~ 익일 새벽 1:00 목요일 - 오전 8:00 ~ 익일 새벽 1:00 금요일 - 오전 8:00 ~ 익일 새벽 1:00 주말 - 오전 8:00 ~ 익일 새벽 1:00 월요일 - 오전 8:00 ~ 익일 새벽 1:00,연중무휴,4.9,
store-78,동대문엽기떡볶이 시흥정왕점,restaurant,분식,14000,30~45,경기도 시흥시 함송로14번길 5-16,050-6209-6171,매일 - 오전 11:00 ~ 오후 10:30,연중무휴,4.8,
store-79,청년다방 배곧점,restaurant,분식,15000,14~29,경기도 시흥시 서울대학로278번길 61 서영베니스스퀘어344호 (배곧동),050-6457-9403,매일 - 오전 11:05 ~ 오후 8:50,연중무휴,4.8,
store-80,오토김밥 배곧점,restaurant,분식,15500,23~38,"경기도 시흥시 서울대학로264번길 35 1층 125호(배곧동, 시흥배곧 아브 뉴프랑 센트럴 그린)",050-8820-82931,매일 - 오전 10:00 ~ 오후 8:00,연중무휴,4.9,
store-81,이꼬마김밥 배곧본점,restaurant,분식,16500,17~32,"경기도 시흥시 서울대학로264번길 44-4 118호(배곧동,에스프라자)",050-6457-8937,매일 - 오전 8:50 ~ 익일 새벽 3:00,연중무휴,4.9,
store-82,스텔라떡볶이 경기시흥배곧점,restaurant,분식,15000,14~24,경기도 시흥시 서울대학로278번길 19-13 107동 A-140호(배곧동),050-7801-1358,평일 - 오전 11:00 ~ 오후 8:00 주말 - 오전 11:00 ~ 오후 7:30,연중무휴,4.7,
store-83,밥시그널 시흥점,restaurant,한식,9900,30~45,경기도 시흥시 봉우재로30번길 6 1층 103호(정왕동),050-8819-95147,매일 - 24시간 운영,연중무휴,5,
store-84,묵미연김치찜 정왕점,restaurant,찜·탕,5000,22~37,경기도 시흥시 함송로14번길 5-16 2 층 일부호(정왕동),050-8818-82146,매일 - 오전 9:00 ~ 오후 11:00,연중무휴,5,
store-85,신의주찹쌀순대 배곧점,restaurant,찜·탕,14900,24~39,"경기도 시흥시 서울대학로278번길 43-7 1층 111호(배곧동, 배곧 유호 N-CITY 1차)",050-6019-4449,화요일 -오전 10:00 ~밤 12:00 수요일 - 24시간 운영 목요일 - 24시간 운영 금요일 - 24시간 운영 주말 - 24시간 운영 월요일 - 밤 12:00 ~ 오후 9:30,연중무휴,4.9,
store-86,한그릇 감자탕 시흥정왕점,restaurant,찜·탕,15000,21~36,"경기도 시흥시 서촌상가3길 7-13 109-2호(정왕동,정왕동주차빌딩)",050-8819-79731,화요일 - 오전 11:00 ~ 오후 11:50 수요일 - 오전 11:00 ~ 오후 11:50 목요일 - 오후 5:00 ~ 11:50 금요일 - 오전 11:00 ~ 오후 11:50 토요일 - 오전 11:00 ~ 오후 11:50 일요일 - 정기휴무 월요일 - 오전 11:00 ~ 오후 11:50,매주 일요일,4.8,
store-87,선비촌 한방순대국&감자탕,restaurant,찜·탕,18000,19~34,"경기도 시흥시 함송로13번길 6-13 1 층 101,102,103호(정왕동, 탑빌딩)",050-6769-1280,매일 - 오전 10:00 ~ 오후 9:30,연중무휴,4.7,
store-88,브런치빈 배곧점,restaurant,양식,25000,25~40,"경기도 시흥시 서울대학로264번길 7 시흥배곧 아브뉴프랑 센트럴 퍼플 3층 A-349,350,351,352호(배곧동)",050-4831-5237,매일 - 오전 9:00 ~ 오후 7:50 (준비시간 오후 14:50 ~ 오후 16:30),연중무휴,5,
store-89,슬로우 보울 배곧점,restaurant,양식,12500,39~54,경기도 시흥시 서울대학로264번길 26-32 배곧중앙프라자 1층 130호 (배곧동),050-8819-23101,화요일 - 오전 10:00 ~오후 8:30 수요일 - 오후 3:00 ~ 8:30 목요일 - 오전 10:00 ~오후 8:30 금요일 - 오전 10:00 ~ 오후 8:30 토요일 - 오전 9:30 ~ 오후 8:30 일요일 - 정기휴무 월요일 - 오전 10:00 ~ 오후 8:30,매주 일요일,5,
store-90,포시즌파스타 정왕점,restaurant,양식,9900,21~36,경기도 시흥시 마유로 400-20 1층 일부(101)호(정왕동),050-3750-16075,화요일 - 오전 11:55 ~오후 10:30 수요일 - 오전 11:55 ~ 오후 9:55 목요일 - 정기휴무 금요일 - 오전 11:55 ~ 오후 10:30 토요일 - 오전 11:55 ~ 오후 10:30 일요일 - 오전 11:55 ~ 오후 9:55 월요일 - 오전 11:55 ~ 오후 10:30 (준비시간 오후 15:40 ~ 오후 17:30),매주 목요일,5,
store-91,니뽕내뽕 시흥정왕점,restaurant,중식,12000,19~34,"경기도 시흥시 중심상가3길 9 2층 204호(정왕동,청진프라자)",050-8820-58252,화요일 - 오전 11:00 ~ 오후 7:40 수요일 - 오전 11:00 ~ 오후 7:40 목요일 - 오전 11:00 ~ 오후 7:40 금요일 - 오전 11:00 ~ 오후 7:40 주말 - 오전 11:00 ~ 오후 7:40 월요일 - 정기휴무,매주 월요일,4.2,
store-92,읍천리382 시흥정왕점,cafe,카페·디저트,14000,30~45,"경기도 시흥시 중심상가로 180 ,모아프 라자 1층 108,109호(정왕동)",050-8819-47517,평일 - 오전 8:30 ~ 밤 12:20 주말 - 오전 9:00 ~ 밤 12:20,연중무휴,4.9,
store-93,봉명동내커피 배곧신도시점,cafe,카페·디저트,12900,28~43,"경기도 시흥시 서울대학로264번길 7 1층 A-106호(배곧동,시흥배곧아브뉴프랑 센트럴 퍼플)",031-504-3275,평일 -오전 9:00 ~ 오후 11:00 토요일 - 오전 10:00 ~ 오후 11:00 일요일 - 오전 10:00 ~ 오후 9:00,연중무휴,4.9,
store-94,누니스커피,cafe,카페·디저트,16000,17~32,"경기도 시흥시 서울대학로278번길 19-13 107동 에이 - 164호(배곧동, 시 흥배곧 C1 호반 써밋플레이스)",070-8094-0507,평일 -오전 8:30 ~ 오후 6:00 주말 - 오전 9:00 ~ 오후 6:00,연중무휴,5,
store-95,텐퍼센트커피 배곧신도시점,cafe,카페·디저트,13900,18~33,"경기도 시흥시 서울대학로278번길 8 1층 A-144호(배곧동, 시흥배곧 아브뉴프 랑 센트럴 레드)",050-6329-2696,평일 - 오전 9:30 ~ 오후 9:30 주말 - 오전 10:00 ~ 오후 9:30,연중무휴,4.9,
store-96,달롱도르 요거트 아이스크림 정왕점,cafe,카페·디저트,12000,31~46,"경기도 시흥시 중심상가로 187 1층 103 호(정왕동, 진명프라자)",050-8820-12956,화요일 - 오전 11:00 ~ 밤 12:00 수요일 - 오전 11:00 ~ 밤 12:0( 목요일 - 오전 11:00 ~밤 12:00 금요일 - 오전 11:00 ~ 익일 새벽 2:00 토요일 - 오전 11:00 ~ 익일 새벽 2:00 일요일 - 오전 11:00 ~ 오후 10:00 월요일 - 오전 11:00 ~ 밤 12:00,연중무휴,5,
store-97,메가커피 배곧유호앤시티점,cafe,카페·디저트,12000,16~31,경기도 시흥시 정왕동 2519-1 배곧 유호 N-CITY 1차 1층 136호 (정왕동),050-4823-2108,평일 - 오전 9:30 ~ 오후 9:30 토요일 - 오전 9:30 ~ 오후 9:00 일요일 - 오전 10:00 ~ 오후 9:00,연중무휴,4.6,
