restaurant_id,source_url,checked_at,note
store-102,배민 앱 / 꽁뜨 샌드위치 / 화면 캡처,2026-08-11,
store-103,배민 앱 / 메가엠지씨커피 배곧한라비발디점 / 화면 캡처,2026-08-11,
store-104,배민 앱 / 1리터 보틀 니즈커피 / 화면 캡처,2026-08-11,
store-105,배민 앱 / 해블랑디저트&해빙수 / 화면 캡처,2026-08-11,
store-106,배민 앱 / 배정동카페 / 화면 캡처,2026-08-11,
store-107,배민 앱 / 여정포레스트 카페 / 화면 캡처,2026-08-11,
store-108,배민 앱 / 살찌는케이크 / 화면 캡처,2026-08-11,
store-109,배민 앱 / 발도스커피 건영테크노밸리점 / 화면 캡처,2026-08-11,
store-110,배민 앱 / 해브투(haveto) / 화면 캡처,2026-08-11,
store-111,배민 앱 / 이삭토스트 시흥시화점 / 화면 캡처,2026-08-11,
store-112,배민 앱 / 샐러리아 샌드위치&샐러드&포케 배곧점 / 화면 캡처,2026-08-11,
